Date,Revenue,COGS
2023-01-01,2796220.1713910834,2761764.9167877617
2023-01-02,1332050.7625133218,1232188.110833728
2023-01-03,1071115.3513199582,990798.9646654077
2023-01-04,1150680.5140607802,1092172.3306624093
2023-01-05,1186304.4984306141,1102729.9034033306
2023-01-06,1210161.247395364,1126349.1281385364
2023-01-07,1384199.8985491411,1288653.0267042886
2023-01-08,1557540.3919536185,1443409.159794868
2023-01-09,1720068.4067331203,1606278.9691011931
2023-01-10,1757960.9475928764,1673190.7827724426
2023-01-11,1754415.6012409239,1670583.5786642062
2023-01-12,1706633.7419405172,1627702.2037782443
2023-01-13,1636871.2530756814,1556663.3634194138
2023-01-14,1671565.9175353271,1582107.566412276
2023-01-15,1816316.255129374,1712205.8097546105
2023-01-16,1941024.1871395635,1818330.9298835816
2023-01-17,1974149.2377035285,1854223.2099994035
2023-01-18,1931357.441798465,1808927.9280477997
2023-01-19,1812419.2545015118,1675111.6337654558
2023-01-20,1746519.5425640563,1642938.3869888913
2023-01-21,1847759.831840761,1737283.4686377759
2023-01-22,2090958.267574693,1929593.2334126132
2023-01-23,2351088.2352553126,2169069.2572848042
2023-01-24,2366289.7811038727,2169081.9505677377
2023-01-25,2426170.1887190165,2233618.8742058654
2023-01-26,2338151.3462493275,2079790.6303104504
2023-01-27,2398459.548371062,2135981.084207194
2023-01-28,3106669.7038591364,2744592.5740993363
2023-01-29,3644939.122167168,3252181.4173785746
2023-01-30,3634447.134326929,3439736.7399035217
2023-01-31,3429713.63852799,3209018.1482346454
2023-02-01,2800098.3247187603,2619206.1453480413
2023-02-02,1963233.091185996,1785902.721486749
2023-02-03,1533728.4057145384,1387805.6725594697
2023-02-04,1589016.9538137023,1464183.5443138606
2023-02-05,1806031.2183472277,1613439.105326674
2023-02-06,1901227.741490197,1740606.37543238
2023-02-07,2243778.772985085,2072677.0784324615
2023-02-08,2173324.1414152556,1998381.3192019276
2023-02-09,2213581.959144801,2036137.1215131385
2023-02-10,2158544.0561484024,1996792.1698447084
2023-02-11,2279637.061357635,2096989.1636993077
2023-02-12,2582447.188391855,2341412.5936386213
2023-02-13,2879589.6324983416,2662817.1579646743
2023-02-14,3001406.088005552,2765994.058039314
2023-02-15,2924606.712822305,2650424.3324374235
2023-02-16,2952242.6548701082,2671600.9597369735
2023-02-17,2763981.175891785,2515746.634567486
2023-02-18,2750329.0103464085,2432473.234838617
2023-02-19,3004177.2064837143,2708781.3428665097
2023-02-20,3520752.6668761335,3301748.968590387
2023-02-21,3406141.033595041,3198964.3765723454
2023-02-22,3590582.866788291,3339085.876234773
2023-02-23,3829278.756041203,3549366.086633801
2023-02-24,3403499.6677310523,3154114.2675478645
